ApiaryID,Apiary,City,State
1,BBCC,Durham,NC
2,BBCC-RTP,Durham,NC
3,BBTS,Clayton,NC
4,Beesboro,Durham,NC
5,Fresno,Durham,NC
6,Juniper Level,Durham,NC
7,Lakeview,Salt Lake City,UT
8,Leesville,Durham,NC
9,Mike C,Salt Lake City,UT
10,Roestenburg,Salt Lake City,UT
11,The Bee Hive,Clayton,NC
12,Walker - Avenue,Salt Lake City,UT
13,Walker-Cove,Salt Lake City,UT
